experiment,fault,fault_type,mode,mode_name,seed,n_baseline,n_pre_test,n_post_test,baseline_fraction_of_pre,true_negatives,false_positives,false_negatives,true_positives,auc_roc,average_precision,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,sustained_detection,detection_delay_from_nominal_midpoint_s,median_index_pre,median_index_post
F6M,6,Ganho PI do MPPT/IPPT reduzido em 20%,M,MPPT (potencia maxima),29,180,180,359,0.5,178,2,343,16,0.7327452800990405,0.8229720794402435,0.04456824512534819,0.027616813846542607,0.0711631297056245,0.9888888888888889,0.9603989991004155,0.9969476251540074,0.5167285670071186,0.08782478566470062,False,,0.3441396972284507,0.5335605327370384
F6M,6,Ganho PI do MPPT/IPPT reduzido em 20%,M,MPPT (potencia maxima),42,180,180,359,0.5,172,8,314,45,0.7108325595790778,0.8077168632016946,0.12534818941504178,0.09501502649514518,0.16361434602942046,0.9555555555555556,0.9147630842357073,0.9773099065468231,0.5404518724852987,0.1281433379751266,True,5.13946882174428,0.4197357848649248,0.6223851983579468
F6M,6,Ganho PI do MPPT/IPPT reduzido em 20%,M,MPPT (potencia maxima),71,180,180,359,0.5,176,4,319,40,0.6885948622717425,0.7937315969231474,0.11142061281337047,0.08289843120291167,0.14817069494710244,0.9777777777777777,0.944263669857449,0.9913250765730094,0.5445991952955741,0.15364256806660664,True,5.13946882174428,0.3814213735325289,0.5609041450799587
F6M,6,Ganho PI do MPPT/IPPT reduzido em 20%,M,MPPT (potencia maxima),101,180,180,359,0.5,178,2,345,14,0.7304394924172082,0.8210344962975697,0.03899721448467967,0.02336962885561688,0.06438621614672962,0.9888888888888889,0.9603989991004155,0.9969476251540074,0.5139430516867843,0.07749264311529558,False,,0.3283937420947337,0.4957710779445725
F7L,7,Constante de tempo PI elevada em 20%,L,IPPT (potencia limitada),13,180,180,359,0.5,170,10,322,37,0.7872794800371403,0.831102374295507,0.10306406685236769,0.07570137043222219,0.13883160789306107,0.9444444444444444,0.9007683865825439,0.9695467263760221,0.523754255648406,0.07941881784764536,False,,0.24698534763842414,0.6354388200633766
F7L,7,Constante de tempo PI elevada em 20%,L,IPPT (potencia limitada),29,180,180,359,0.5,173,7,337,22,0.8051686784277313,0.8479244926835983,0.06128133704735376,0.04081417021791123,0.09103806898371763,0.9611111111111111,0.9219152218849264,0.981036707809586,0.5111962240792325,0.04680593953781389,False,,0.21401354340492862,0.6584220210821901
F7L,7,Constante de tempo PI elevada em 20%,L,IPPT (potencia limitada),42,180,180,359,0.5,169,11,283,76,0.8003249767873724,0.8441458888880508,0.2116991643454039,0.1726073077893875,0.2568955922573972,0.9388888888888889,0.8938988876150229,0.9655372864315612,0.5752940266171463,0.19303904127977956,False,,0.2989330463080697,0.7708986811046837
F7L,7,Constante de tempo PI elevada em 20%,L,IPPT (potencia limitada),71,180,180,359,0.5,169,11,301,58,0.7849117920148562,0.8280593927211094,0.1615598885793872,0.12710412278732197,0.20318189031107747,0.9388888888888889,0.8938988876150229,0.9655372864315612,0.550224388734138,0.14179295648365028,False,,0.2648553577996047,0.7199344759567967
F7L,7,Constante de tempo PI elevada em 20%,L,IPPT (potencia limitada),101,180,180,359,0.5,173,7,336,23,0.7920303311668213,0.8412094033024696,0.06406685236768803,0.04306709016714137,0.09429719830939777,0.9611111111111111,0.9219152218849264,0.981036707809586,0.5125889817393996,0.051794608840225805,False,,0.2476254781372385,0.5904797413089903
F7M,7,Constante de tempo PI elevada em 20%,M,MPPT (potencia maxima),13,180,180,359,0.5,175,5,242,117,0.8070256886412874,0.8885677680176706,0.32590529247910865,0.2794856347408803,0.3760112855772265,0.9722222222222222,0.936631929551566,0.9880778779669105,0.6490637573506655,0.33599869737216126,True,3.97958838362438,0.3223766049789101,0.7918857947458651
F7M,7,Constante de tempo PI elevada em 20%,M,MPPT (potencia maxima),29,180,180,359,0.5,175,5,222,137,0.8153512844320644,0.9054412084798342,0.3816155988857939,0.33286913171463084,0.4328687741016818,0.9722222222222222,0.936631929551566,0.9880778779669105,0.6769189105540081,0.37883343623066856,True,3.93959268846198,0.3162953822594151,0.7676902726094099
F7M,7,Constante de tempo PI elevada em 20%,M,MPPT (potencia maxima),42,180,180,359,0.5,166,14,189,170,0.8019808108944599,0.8911025919895241,0.4735376044568245,0.42244215368733457,0.5251933782010177,0.9222222222222223,0.8736927799483827,0.9531065773622551,0.6978799133395234,0.39363354006279616,True,3.93959268846198,0.36065158805482456,0.933744228970978
F7M,7,Constante de tempo PI elevada em 20%,M,MPPT (potencia maxima),71,180,180,359,0.5,168,12,197,162,0.8025688641287527,0.8905990437081249,0.45125348189415043,0.4005650993885408,0.5029740383005292,0.9333333333333333,0.8871013100703046,0.9614559250642974,0.6922934076137419,0.38793307750050343,True,3.97958838362438,0.3361446866126582,0.8958385438847891
F7M,7,Constante de tempo PI elevada em 20%,M,MPPT (potencia maxima),101,180,180,359,0.5,176,4,239,120,0.8136954503249767,0.8978195736228824,0.3342618384401114,0.2874465050707164,0.3845865630721213,0.9777777777777777,0.944263669857449,0.9913250765730094,0.6560198081089446,0.3496699576921464,True,4.0795782080204805,0.30843321658173195,0.742211269486547
