model,component,magnitude,empirical_cdf,log_magnitude,weibull_y,position_method
ae_lstm,contator_ac,0.43,0.38805970149253805,-0.843970070294529,-0.7110656565038219,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.44,0.4147121535181245,-0.8209805520698302,-0.6242715019459787,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.45,0.43781094527363285,-0.7985076962177716,-0.5517915707532643,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.46,0.4538024164889848,-0.7765287894989963,-0.502899627400703,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.47000000000000003,0.46979388770433655,-0.7550225842780327,-0.4549346083398533,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.48,0.47867803837953204,-0.7339691750802004,-0.428650637889096,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.49,0.48223169864961024,-0.7133498878774648,-0.41820476683095964,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.5,0.48578535891968844,-0.6931471805599453,-0.40779605609357283,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.51,0.4928926794598449,-0.6733445532637656,-0.3870861110494152,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.52,0.5017768301350403,-0.6539264674066639,-0.3613900855108605,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.53,0.5071073205401576,-0.6348782724359695,-0.34606879231385274,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.54,0.5124378109452749,-0.616186139423817,-0.3308158629636819,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.55,0.5195451314854311,-0.5978370007556204,-0.3105795897259743,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.56,0.5302061122956657,-0.579818495252942,-0.2804268324549983,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.5700000000000001,0.5390902629708612,-0.5621189181535411,-0.25546912133193445,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.58,0.5568585643212519,-0.5447271754416722,-0.20595918692108442,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.59,0.5835110163468383,-0.527632742082372,-0.13250875279905758,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.6,0.6012793176972292,-0.5108256237659907,-0.08393159538028863,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.61,0.6226012793176983,-0.4942963218147801,-0.025878954246174316,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.62,0.6528073916133628,-0.4780358009429998,0.056262732600374406,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.63,0.6776830135039099,-0.4620354595965587,0.12418011955584746,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.64,0.6936744847192617,-0.4462871026284195,0.16814400103593727,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.65,0.718550106609809,-0.4307829160924542,0.23728378205489026,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.66,0.7540867093105909,-0.4155154439616658,0.3384533315680035,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.67,0.7842928216062551,-0.40047756659712525,0.42777012248382196,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.68,0.8073916133617635,-0.3856624808119846,0.499013880717787,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.6900000000000001,0.8233830845771152,-0.3710636813908319,0.5502995038569586,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.7000000000000001,0.8393745557924669,-0.3566749439387323,0.6035944267381564,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.71,0.8535891968727796,-0.342490308946776,0.6530222806819254,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.72,0.864250177683014,-0.3285040669720361,0.69161682469641,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.73,0.8820184790334048,-0.31471074483970024,0.7595093201244476,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.74,0.9015636105188349,-0.3011050927839216,0.8408534532244706,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.75,0.9157782515991474,-0.2876820724517809,0.9059583750602004,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.76,0.9317697228144993,-0.2744368457017603,0.9876311422422991,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.77,0.9513148542999291,-0.2613647641344075,1.1060450345294135,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.78,0.9637526652452026,-0.2484613592984996,1.19917815566348,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.79,0.96908315565032,-0.23572233352106983,1.2460128430068123,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.8,0.9744136460554371,-0.2231435513142097,1.2990182541810016,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.8200000000000001,0.9832977967306326,-0.19845093872383818,1.4090862992954816,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.8300000000000001,0.992181947405828,-0.18632957819149337,1.5792507884088594,modified_KM_NIST_grouped_ties
ae_lstm,contator_ac,0.86,0.9975124378109453,-0.15082288973458366,1.7911679757667909,modified_KM_NIST_grouped_ties
ae_denso,igbt,0.02,0.009594882729211007,-3.912023005428146,-4.641708639609736,modified_KM_NIST_grouped_ties
ae_denso,igbt,0.13,0.022032693674484627,-2.0402208285265546,-3.804109014714898,modified_KM_NIST_grouped_ties
ae_denso,igbt,0.14,0.02914001421464102,-1.9661128563728327,-3.52089292179158,modified_KM_NIST_grouped_ties
